subject,predicate,object
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0015908
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0024619
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006014
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002026
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0044070
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005672
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005657
CHEBI:2682,biolink:related_to,CHEBI:171664
CHEBI:2682,biolink:subclass_of,CHEBI:87113
CHEBI:2682,biolink:subclass_of,CHEBI:26177
CHEBI:2682,biolink:subclass_of,CHEBI:25105
CHEBI:15355,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004975
CHEBI:15355,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005044
CHEBI:15355,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005362
CHEBI:15355,biolink:related_to,CHEBI:35620
CHEBI:15355,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005468
CHEBI:15355,biolink:subclass_of,CHEBI:47622
CHEBI:15355,biolink:subclass_of,CHEBI:35287
MONDO:0024237,biolink:subclass_of,MONDO:0005559
MONDO:0015547,biolink:subclass_of,MONDO:0001627
HGNC:188,biolink:contributes_to,MONDO:0014265
MONDO:0007089,biolink:subclass_of,MONDO:0100087
MONDO:0007089,biolink:subclass_of,MONDO:0024237
MONDO:0007089,biolink:subclass_of,MONDO:0015547
MONDO:0007089,biolink:has_phenotype,HP:0002185
MONDO:0007089,biolink:has_phenotype,HP:0000726
MONDO:0015140,biolink:subclass_of,MONDO:0100087
MONDO:0015140,biolink:subclass_of,MONDO:0001627
MONDO:0015140,biolink:subclass_of,MONDO:0024237
MONDO:0015140,biolink:subclass_of,MONDO:0015547
MONDO:0015140,biolink:has_phenotype,HP:0002185
MONDO:0015140,biolink:has_phenotype,HP:0000726
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005574
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005359
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002329
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0003634
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021074
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0008487
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005240
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005812
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005267
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005030
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005292
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021100
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004976
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005071
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005093
CHEBI:27568,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005065
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005574
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0008315
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0018874
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005359
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0003620
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005070
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002280
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002715
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021085
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002531
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0008170
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0009693
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005105
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0018908
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005402
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021042
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0018177
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005335
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001751
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005096
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005233
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0007256
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006739
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004993
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021100
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005311
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004970
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005059
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021117
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002049
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001475
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021251
CHEBI:45863,biolink:subclass_of,CHEBI:35610
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005089
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005065
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001673
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005590
CHEBI:45863,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001657
CHEBI:27656,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005574
CHEBI:27656,biolink:treats_or_applied_or_studied_to_treat,MONDO:0007739
CHEBI:27656,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005401
CHEBI:27656,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005070
CHEBI:27656,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005402
CHEBI:27656,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021042
CHEBI:27656,biolink:treats_or_applied_or_studied_to_treat,MONDO:0100339
CHEBI:27656,biolink:subclass_of,CHEBI:26878
CHEBI:27656,biolink:related_to,CHEBI:35610
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001627
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0017276
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002025
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005530
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005395
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002050
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001484
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002009
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004985
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0007661
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005567
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006730
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005071
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0045057
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005302
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0003969
CHEBI:8871,biolink:related_to,CHEBI:35471
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001126
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0003406
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004681
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005260
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002420
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002265
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005352
CHEBI:8871,biolink:treats_or_applied_or_studied_to_treat,MONDO:0003996
CHEBI:8871,biolink:subclass_of,CHEBI:37143
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001627
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0007739
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0017276
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002025
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021095
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005395
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002050
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005618
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001484
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002009
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004985
CHEBI:7735,biolink:subclass_of,CHEBI:50919
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005567
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006730
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005071
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006732
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0045057
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0003969
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0013600
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005260
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002265
CHEBI:7735,biolink:treats_or_applied_or_studied_to_treat,MONDO:0800105
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001627
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005180
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002025
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001386
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021095
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005395
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002050
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001484
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002009
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004985
CHEBI:3766,biolink:subclass_of,CHEBI:36683
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0008575
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005567
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006730
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005071
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006732
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004681
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002265
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005352
CHEBI:3766,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001595
MONDO:0004975,biolink:subclass_of,MONDO:0005574
MONDO:0004975,biolink:subclass_of,MONDO:0001627
MONDO:0014316,biolink:subclass_of,MONDO:0004975
MONDO:0014316,biolink:subclass_of,MONDO:0024237
MONDO:0014316,biolink:subclass_of,MONDO:0015547
MONDO:0014265,biolink:subclass_of,MONDO:0004975
MONDO:0014265,biolink:subclass_of,MONDO:0024237
MONDO:0014265,biolink:subclass_of,MONDO:0015547
MONDO:0014036,biolink:subclass_of,MONDO:0004975
MONDO:0010422,biolink:subclass_of,MONDO:0004975
MONDO:0100087,biolink:subclass_of,MONDO:0004975
MONDO:0005574,biolink:has_phenotype,HP:0002185
MONDO:0005574,biolink:subclass_of,MONDO:0005559
MONDO:0001627,biolink:has_phenotype,HP:0000726
MONDO:0001627,biolink:subclass_of,MONDO:0002039
MGI:3720946,biolink:model_of,MONDO:0004975
MGI:3720946,biolink:model_of,MONDO:0011913
MGI:6314698,biolink:model_of,MONDO:0004975
MGI:5578629,biolink:model_of,MONDO:0004975
MGI:5014041,biolink:model_of,MONDO:0004975
MGI:3653709,biolink:model_of,MONDO:0004975
MGI:3696575,biolink:model_of,MONDO:0004975
MGI:3696575,biolink:model_of,MONDO:0011743
MGI:3722101,biolink:model_of,MONDO:0004975
MGI:3722143,biolink:model_of,MONDO:0004975
MGI:3721938,biolink:model_of,MONDO:0004975
MGI:5812135,biolink:model_of,MONDO:0004975
MGI:2177120,biolink:model_of,MONDO:0004975
MGI:3722063,biolink:model_of,MONDO:0004975
MGI:3722063,biolink:model_of,MONDO:0005620
MGI:5008417,biolink:model_of,MONDO:0004975
MGI:5559229,biolink:model_of,MONDO:0004975
MGI:5792143,biolink:model_of,MONDO:0004975
MGI:3510652,biolink:model_of,MONDO:0004975
MGI:3510652,biolink:model_of,MONDO:0011913
MGI:6257021,biolink:model_of,MONDO:0004975
MGI:5140748,biolink:model_of,MONDO:0004975
MGI:6257025,biolink:model_of,MONDO:0004975
MGI:3720677,biolink:model_of,MONDO:0004975
MGI:3720701,biolink:model_of,MONDO:0004975
MGI:5427915,biolink:model_of,MONDO:0004975
MGI:3769910,biolink:model_of,MONDO:0004975
MGI:5051942,biolink:model_of,MONDO:0004975
MGI:2174990,biolink:model_of,MONDO:0004975
MGI:5294357,biolink:model_of,MONDO:0004975
MGI:4843219,biolink:model_of,MONDO:0004975
MGI:3639713,biolink:model_of,MONDO:0004975
MGI:3639713,biolink:model_of,MONDO:0011913
MGI:3639713,biolink:model_of,MONDO:0011743
MGI:3044184,biolink:model_of,MONDO:0004975
MGI:5521287,biolink:model_of,MONDO:0004975
MGI:4882081,biolink:model_of,MONDO:0004975
MGI:3611210,biolink:model_of,MONDO:0004975
MGI:5003275,biolink:model_of,MONDO:0004975
MGI:7608058,biolink:model_of,MONDO:0004975
MGI:5581681,biolink:model_of,MONDO:0004975
MGI:3721541,biolink:model_of,MONDO:0004975
MGI:3693440,biolink:model_of,MONDO:0004975
MGI:5052112,biolink:model_of,MONDO:0004975
MGI:5052112,biolink:model_of,MONDO:0005574
MGI:2684657,biolink:model_of,MONDO:0004975
MGI:2684657,biolink:model_of,MONDO:0011913
MGI:5790841,biolink:model_of,MONDO:0004975
MGI:3771317,biolink:model_of,MONDO:0004975
MGI:3718515,biolink:model_of,MONDO:0004975
MGI:5811870,biolink:model_of,MONDO:0004975
MGI:4943741,biolink:model_of,MONDO:0004975
MGI:3582996,biolink:model_of,MONDO:0004975
MGI:5604616,biolink:model_of,MONDO:0004975
MGI:2174998,biolink:model_of,MONDO:0004975
MGI:2174998,biolink:model_of,MONDO:0011913
MGI:3720731,biolink:model_of,MONDO:0004975
MGI:5471581,biolink:model_of,MONDO:0004975
MGI:5471581,biolink:model_of,MONDO:0005620
MGI:3624416,biolink:model_of,MONDO:0004975
MGI:5003460,biolink:model_of,MONDO:0004975
MGI:5754385,biolink:model_of,MONDO:0004975
MGI:3696576,biolink:model_of,MONDO:0004975
MGI:3718076,biolink:model_of,MONDO:0004975
MGI:3718076,biolink:model_of,MONDO:0017276
MGI:4366531,biolink:model_of,MONDO:0004975
MGI:4438223,biolink:model_of,MONDO:0004975
MGI:5462366,biolink:model_of,MONDO:0004975
MGI:5462366,biolink:model_of,MONDO:0005090
MGI:5462366,biolink:model_of,MONDO:0005180
MGI:3717255,biolink:model_of,MONDO:0004975
MGI:4367786,biolink:model_of,MONDO:0004975
MGI:3721530,biolink:model_of,MONDO:0004975
MGI:5553465,biolink:model_of,MONDO:0004975
MGI:5553465,biolink:model_of,MONDO:0005620
MGI:5294359,biolink:model_of,MONDO:0004975
MGI:4355230,biolink:model_of,MONDO:0004975
MGI:5442379,biolink:model_of,MONDO:0004975
MGI:5442379,biolink:model_of,MONDO:0001982
MGI:3722393,biolink:model_of,MONDO:0004975
MGI:6392258,biolink:model_of,MONDO:0004975
MGI:6324682,biolink:model_of,MONDO:0004975
MGI:5829782,biolink:model_of,MONDO:0004975
MGI:5638672,biolink:model_of,MONDO:0004975
MGI:5634332,biolink:model_of,MONDO:0004975
MGI:4847595,biolink:model_of,MONDO:0004975
MGI:4819951,biolink:model_of,MONDO:0004975
MGI:3710761,biolink:model_of,MONDO:0004975
MGI:2174818,biolink:model_of,MONDO:0004975
MGI:5550547,biolink:model_of,MONDO:0004975
MGI:4355229,biolink:model_of,MONDO:0004975
MGI:2652362,biolink:model_of,MONDO:0004975
MGI:5463430,biolink:model_of,MONDO:0004975
MGI:5646171,biolink:model_of,MONDO:0004975
MGI:5803810,biolink:model_of,MONDO:0004975
MGI:5003459,biolink:model_of,MONDO:0004975
MGI:3721531,biolink:model_of,MONDO:0004975
ZFIN:ZDB-FISH-230727-2,biolink:model_of,MONDO:0004975
ZFIN:ZDB-FISH-221207-4,biolink:model_of,MONDO:0004975
ZFIN:ZDB-FISH-201029-3,biolink:model_of,MONDO:0004975
RGD:68114,biolink:model_of,MONDO:0004975
RGD:68114,biolink:model_of,MONDO:0005129
RGD:68114,biolink:model_of,MONDO:0005298
RGD:68114,biolink:model_of,MONDO:0003004
RGD:2290299,biolink:model_of,MONDO:0004975
RGD:2290298,biolink:model_of,MONDO:0004975
RGD:2290387,biolink:model_of,MONDO:0004975
MGI:3663620,biolink:model_of,MONDO:0004975
MGI:3663620,biolink:model_of,MONDO:0011913
MGI:3663620,biolink:model_of,MONDO:0011743
MGI:4818990,biolink:model_of,MONDO:0004975
MGI:5491627,biolink:model_of,MONDO:0004975
MGI:5755045,biolink:model_of,MONDO:0004975
MGI:3722160,biolink:model_of,MONDO:0004975
MGI:3784684,biolink:model_of,MONDO:0004975
MGI:3722102,biolink:model_of,MONDO:0004975
MGI:3693491,biolink:model_of,MONDO:0004975
MGI:3693491,biolink:model_of,MONDO:0011913
MGI:3639711,biolink:model_of,MONDO:0004975
MGI:3663749,biolink:model_of,MONDO:0004975
MGI:5559449,biolink:model_of,MONDO:0004975
MGI:3611211,biolink:model_of,MONDO:0004975
MGI:3721542,biolink:model_of,MONDO:0004975
MGI:5511058,biolink:model_of,MONDO:0004975
MGI:5511058,biolink:model_of,MONDO:0017276
MGI:4367205,biolink:model_of,MONDO:0004975
MGI:5569760,biolink:model_of,MONDO:0004975
MGI:5569760,biolink:model_of,MONDO:0017276
MGI:5313530,biolink:model_of,MONDO:0004975
MGI:3829507,biolink:model_of,MONDO:0004975
MGI:3663447,biolink:model_of,MONDO:0004975
MGI:3663447,biolink:model_of,MONDO:0017276
MGI:5052120,biolink:model_of,MONDO:0004975
MGI:2174994,biolink:model_of,MONDO:0004975
MGI:2174994,biolink:model_of,MONDO:0011913
MGI:5003462,biolink:model_of,MONDO:0004975
MGI:5003501,biolink:model_of,MONDO:0004975
MGI:5052119,biolink:model_of,MONDO:0004975
MGI:2652361,biolink:model_of,MONDO:0004975
MGI:5646215,biolink:model_of,MONDO:0004975
MGI:5550582,biolink:model_of,MONDO:0004975
MGI:5003461,biolink:model_of,MONDO:0004975
MGI:4417912,biolink:model_of,MONDO:0004975
MGI:3717577,biolink:model_of,MONDO:0004975
MGI:5463438,biolink:model_of,MONDO:0004975
MGI:5305067,biolink:model_of,MONDO:0004975
MGI:5305067,biolink:model_of,MONDO:0001982
MGI:2652553,biolink:model_of,MONDO:0004975
MGI:3709154,biolink:model_of,MONDO:0004975
MGI:2662716,biolink:model_of,MONDO:0004975
MGI:5701399,biolink:model_of,MONDO:0004975
MGI:5003464,biolink:model_of,MONDO:0004975
MGI:5003463,biolink:model_of,MONDO:0004975
MGI:5554193,biolink:model_of,MONDO:0004975
MGI:3045186,biolink:model_of,MONDO:0004975
MGI:3045186,biolink:model_of,MONDO:0011743
MGI:2174917,biolink:model_of,MONDO:0004975
MGI:3720702,biolink:model_of,MONDO:0004975
MGI:3710766,biolink:model_of,MONDO:0004975
MGI:3720782,biolink:model_of,MONDO:0004975
MGI:3663751,biolink:model_of,MONDO:0004975
MGI:3663751,biolink:model_of,MONDO:0011913
MGI:2652447,biolink:model_of,MONDO:0004975
MGI:2652447,biolink:model_of,MONDO:0005620
MGI:3709182,biolink:model_of,MONDO:0004975
MGI:3720208,biolink:model_of,MONDO:0004975
MGI:3709152,biolink:model_of,MONDO:0004975
MGI:5465558,biolink:model_of,MONDO:0004975
MGI:3029285,biolink:model_of,MONDO:0004975
MGI:5512698,biolink:model_of,MONDO:0004975
MGI:5699096,biolink:model_of,MONDO:0004975
MGI:5051941,biolink:model_of,MONDO:0004975
MGI:3577843,biolink:model_of,MONDO:0004975
MGI:3720209,biolink:model_of,MONDO:0004975
MGI:5629689,biolink:model_of,MONDO:0004975
MGI:5301407,biolink:model_of,MONDO:0004975
MGI:5512699,biolink:model_of,MONDO:0004975
MGI:3665287,biolink:model_of,MONDO:0004975
MGI:3702925,biolink:model_of,MONDO:0004975
MGI:3702925,biolink:model_of,MONDO:0011913
MGI:3720676,biolink:model_of,MONDO:0004975
MGI:3589555,biolink:model_of,MONDO:0004975
MGI:3665286,biolink:model_of,MONDO:0004975
MGI:3665286,biolink:model_of,MONDO:0011913
MGI:5638675,biolink:model_of,MONDO:0004975
MGI:5435319,biolink:model_of,MONDO:0004975
MGI:5435319,biolink:model_of,MONDO:0005148
MGI:5708587,biolink:model_of,MONDO:0004975
MGI:5433613,biolink:model_of,MONDO:0004975
MGI:5050413,biolink:model_of,MONDO:0004975
MGI:3693295,biolink:model_of,MONDO:0004975
MGI:3693295,biolink:model_of,MONDO:0011913
MGI:4412051,biolink:model_of,MONDO:0004975
MGI:4412051,biolink:model_of,MONDO:0005620
MGI:2652363,biolink:model_of,MONDO:0004975
MGI:3663621,biolink:model_of,MONDO:0004975
MGI:3720700,biolink:model_of,MONDO:0004975
MGI:3618601,biolink:model_of,MONDO:0004975
MGI:3618601,biolink:model_of,MONDO:0011913
MGI:5428425,biolink:model_of,MONDO:0004975
MGI:5581429,biolink:model_of,MONDO:0004975
MGI:5754382,biolink:model_of,MONDO:0004975
MGI:3710763,biolink:model_of,MONDO:0004975
MGI:2652360,biolink:model_of,MONDO:0004975
MGI:3693439,biolink:model_of,MONDO:0004975
MGI:5433612,biolink:model_of,MONDO:0004975
MGI:5008418,biolink:model_of,MONDO:0004975
MGI:3045183,biolink:model_of,MONDO:0004975
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0004975
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005298
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021178
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0100471
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006026
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005520
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005087
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005203
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002771
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0008315
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002960
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0008159
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0003615
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005301
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002025
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005155
CHEBI:27300,biolink:treats_or_applied_or_studied_to_treat,MONDO:0018874
